customer_id,budget_ngn,primary_use,camera_priority,battery_priority,performance_priority,storage_priority,brand_preference,data_source
SYN-0445,1741000,work,low,medium,medium,low,Samsung,synthetic
SYN-0446,152000,camera,medium,medium,low,low,Samsung,synthetic
SYN-0447,169000,social_media,high,low,high,medium,Infinix,synthetic
SYN-0448,498000,work,high,medium,high,medium,TECNO,synthetic
SYN-0449,613000,gaming,medium,high,high,medium,TECNO,synthetic
SYN-0450,460000,work,high,medium,low,high,Google Pixel,synthetic
SYN-0451,533000,social_media,high,high,low,medium,Any,synthetic
SYN-0452,74000,general,medium,medium,low,high,TECNO,synthetic
SYN-0453,292000,student,low,high,low,medium,TECNO,synthetic
SYN-0454,482000,gaming,medium,high,high,medium,Any,synthetic
SYN-0455,1208000,general,medium,medium,low,low,Any,synthetic
SYN-0456,476000,social_media,high,high,low,high,Any,synthetic
SYN-0457,270000,camera,high,low,high,medium,Infinix,synthetic
SYN-0458,518000,general,medium,low,high,high,Any,synthetic
SYN-0459,94000,social_media,low,medium,low,medium,Xiaomi,synthetic
SYN-0460,99000,student,medium,high,low,low,Xiaomi,synthetic
SYN-0461,597000,gaming,low,medium,medium,low,Any,synthetic
SYN-0462,296000,general,low,high,high,low,Any,synthetic
SYN-0463,234000,student,high,low,medium,medium,Any,synthetic
SYN-0464,75000,student,high,medium,high,medium,Any,synthetic
SYN-0465,178000,social_media,medium,high,high,medium,Any,synthetic
SYN-0466,276000,social_media,high,high,medium,low,Any,synthetic
SYN-0467,411000,social_media,high,high,low,high,Any,synthetic
SYN-0468,285000,gaming,high,high,high,high,Any,synthetic
SYN-0469,345000,gaming,medium,medium,high,low,Any,synthetic
SYN-0470,136000,student,medium,medium,high,high,Samsung,synthetic
SYN-0471,171000,student,medium,high,medium,low,Oppo,synthetic
SYN-0472,200000,general,high,low,low,medium,Infinix,synthetic
SYN-0473,60000,gaming,high,high,high,high,Any,synthetic
SYN-0474,179000,student,low,medium,high,high,Any,synthetic
SYN-0475,1127000,camera,high,high,low,medium,Any,synthetic
SYN-0476,487000,social_media,medium,high,medium,medium,Any,synthetic
SYN-0477,226000,student,medium,high,medium,medium,Any,synthetic
SYN-0478,778000,gaming,high,high,high,low,Any,synthetic
SYN-0479,114000,gaming,low,medium,high,high,Infinix,synthetic
SYN-0480,247000,student,low,high,high,high,Any,synthetic
SYN-0481,262000,student,medium,low,low,medium,Any,synthetic
SYN-0482,156000,general,medium,medium,medium,low,Any,synthetic
SYN-0483,1419000,gaming,high,medium,medium,high,Samsung,synthetic
SYN-0484,202000,gaming,medium,high,medium,low,TECNO,synthetic
SYN-0485,149000,camera,high,high,high,medium,Samsung,synthetic
SYN-0486,74000,student,medium,medium,high,medium,Any,synthetic
SYN-0487,65000,social_media,high,high,low,low,Any,synthetic
SYN-0488,1348000,work,medium,high,medium,high,Any,synthetic
SYN-0489,1019000,social_media,high,medium,low,low,itel,synthetic
SYN-0490,746000,social_media,medium,high,low,medium,TECNO,synthetic
SYN-0491,386000,social_media,medium,medium,medium,high,Any,synthetic
SYN-0492,486000,gaming,high,high,high,high,Infinix,synthetic
SYN-0493,857000,social_media,medium,high,low,low,TECNO,synthetic
SYN-0494,1714000,work,low,medium,high,low,Any,synthetic
SYN-0495,138000,student,high,high,medium,medium,Samsung,synthetic
SYN-0496,147000,gaming,medium,medium,low,low,Google Pixel,synthetic
SYN-0497,149000,gaming,medium,medium,high,high,Any,synthetic
SYN-0498,738000,general,low,low,medium,low,Any,synthetic
SYN-0499,276000,student,low,medium,high,high,Any,synthetic
SYN-0500,78000,camera,low,medium,low,medium,Infinix,synthetic
SYN-0501,211000,social_media,medium,high,high,medium,Any,synthetic
SYN-0502,81000,student,medium,high,low,high,Samsung,synthetic
SYN-0503,210000,camera,high,high,medium,medium,Any,synthetic
SYN-0504,262000,camera,high,medium,low,low,Oppo,synthetic
SYN-0505,134000,student,low,medium,low,high,Any,synthetic
SYN-0506,259000,camera,high,low,high,high,Any,synthetic
SYN-0507,192000,camera,medium,medium,low,high,Any,synthetic
SYN-0508,697000,gaming,low,high,medium,low,Any,synthetic
SYN-0509,135000,work,medium,medium,medium,high,itel,synthetic
SYN-0510,713000,camera,high,medium,low,low,TECNO,synthetic
SYN-0511,169000,student,medium,high,medium,high,Samsung,synthetic
SYN-0512,437000,general,low,high,low,medium,TECNO,synthetic
SYN-0513,212000,work,low,low,high,high,Any,synthetic
SYN-0514,368000,student,high,low,low,medium,Infinix,synthetic
SYN-0515,135000,social_media,high,medium,low,high,Any,synthetic
SYN-0516,949000,gaming,medium,low,high,high,Any,synthetic
SYN-0517,187000,student,medium,medium,medium,low,Infinix,synthetic
SYN-0518,354000,social_media,high,medium,medium,low,Any,synthetic
SYN-0519,79000,gaming,medium,medium,low,low,Any,synthetic
SYN-0520,280000,gaming,low,medium,high,low,Any,synthetic
SYN-0521,396000,gaming,medium,high,medium,low,Infinix,synthetic
SYN-0522,73000,work,low,medium,high,high,Infinix,synthetic
SYN-0523,367000,work,high,low,high,medium,Samsung,synthetic
SYN-0524,184000,gaming,medium,medium,high,high,itel,synthetic
SYN-0525,64000,general,medium,medium,low,low,Any,synthetic
SYN-0526,1656000,gaming,high,high,high,medium,Any,synthetic
SYN-0527,497000,general,high,medium,medium,medium,Any,synthetic
SYN-0528,304000,general,medium,low,low,low,Any,synthetic
SYN-0529,102000,social_media,high,medium,medium,high,Any,synthetic
SYN-0530,159000,social_media,medium,low,high,low,TECNO,synthetic
SYN-0531,420000,camera,high,medium,medium,low,TECNO,synthetic
SYN-0532,291000,general,medium,medium,medium,low,Any,synthetic
SYN-0533,469000,student,low,high,medium,medium,Any,synthetic
SYN-0534,62000,social_media,high,high,high,medium,Any,synthetic
SYN-0535,176000,social_media,medium,high,high,low,Any,synthetic
SYN-0536,62000,gaming,medium,high,high,low,TECNO,synthetic
SYN-0537,171000,social_media,high,medium,medium,medium,itel,synthetic
SYN-0538,275000,gaming,medium,high,medium,high,TECNO,synthetic
SYN-0539,169000,camera,high,low,medium,high,itel,synthetic
SYN-0540,133000,student,high,medium,medium,medium,Any,synthetic
SYN-0541,455000,camera,medium,low,high,medium,Any,synthetic
SYN-0542,133000,camera,high,high,high,medium,Any,synthetic
SYN-0543,497000,general,low,medium,medium,low,Any,synthetic
SYN-0544,1904000,camera,medium,low,high,medium,Samsung,synthetic
SYN-0545,223000,social_media,high,high,medium,medium,Any,synthetic
SYN-0546,254000,gaming,high,high,high,medium,Any,synthetic
SYN-0547,702000,student,high,medium,medium,high,Any,synthetic
SYN-0548,146000,camera,medium,medium,medium,medium,Any,synthetic
SYN-0549,792000,gaming,medium,low,low,low,TECNO,synthetic
SYN-0550,253000,camera,high,medium,medium,high,Any,synthetic
SYN-0551,522000,camera,high,high,high,high,Any,synthetic
SYN-0552,814000,gaming,medium,low,high,high,Any,synthetic
SYN-0553,486000,general,medium,medium,medium,medium,Oppo,synthetic
SYN-0554,493000,work,medium,low,medium,high,Any,synthetic
SYN-0555,165000,student,low,high,high,medium,Any,synthetic
SYN-0556,248000,general,medium,medium,low,high,Any,synthetic
SYN-0557,77000,social_media,medium,medium,medium,low,Infinix,synthetic
SYN-0558,95000,camera,medium,high,low,low,Any,synthetic
SYN-0559,164000,general,low,low,low,medium,Any,synthetic
SYN-0560,1077000,camera,high,low,low,medium,TECNO,synthetic
SYN-0561,197000,gaming,medium,high,medium,medium,TECNO,synthetic
SYN-0562,735000,social_media,medium,high,low,high,TECNO,synthetic
SYN-0563,308000,social_media,high,high,medium,high,Any,synthetic
SYN-0564,130000,general,medium,medium,high,low,itel,synthetic
SYN-0565,99000,work,medium,medium,low,high,Any,synthetic
SYN-0566,481000,camera,high,low,medium,low,Any,synthetic
SYN-0567,666000,gaming,high,high,high,medium,Any,synthetic
SYN-0568,240000,camera,high,medium,medium,low,Xiaomi,synthetic
SYN-0569,404000,work,low,medium,low,high,TECNO,synthetic
SYN-0570,94000,camera,medium,medium,medium,medium,Any,synthetic
SYN-0571,159000,social_media,low,high,medium,high,Any,synthetic
SYN-0572,142000,gaming,high,high,high,medium,Any,synthetic
SYN-0573,1389000,gaming,low,low,medium,low,Any,synthetic
SYN-0574,333000,social_media,low,high,high,low,Infinix,synthetic
SYN-0575,161000,student,low,high,medium,medium,Any,synthetic
SYN-0576,90000,general,low,low,high,medium,Any,synthetic
SYN-0577,64000,student,medium,medium,medium,low,Any,synthetic
SYN-0578,202000,gaming,high,high,medium,high,Any,synthetic
SYN-0579,244000,student,high,high,low,medium,Infinix,synthetic
SYN-0580,236000,gaming,high,high,high,low,Infinix,synthetic
SYN-0581,391000,social_media,high,high,medium,low,itel,synthetic
SYN-0582,169000,gaming,low,high,high,high,TECNO,synthetic
SYN-0583,195000,general,high,high,medium,high,Any,synthetic
SYN-0584,102000,social_media,high,high,low,high,TECNO,synthetic
SYN-0585,669000,camera,high,medium,medium,high,Any,synthetic
SYN-0586,99000,social_media,medium,high,low,medium,Any,synthetic
SYN-0587,104000,social_media,medium,high,low,medium,Any,synthetic
SYN-0588,163000,camera,high,medium,medium,medium,Any,synthetic
SYN-0589,104000,student,low,high,medium,high,TECNO,synthetic
SYN-0590,188000,camera,high,low,low,high,TECNO,synthetic
SYN-0591,238000,social_media,high,high,low,low,Any,synthetic
SYN-0592,415000,social_media,low,medium,medium,medium,Infinix,synthetic
SYN-0593,189000,general,medium,medium,high,medium,Any,synthetic
SYN-0594,505000,social_media,high,medium,low,medium,Samsung,synthetic
SYN-0595,60000,student,high,low,low,medium,Any,synthetic
SYN-0596,452000,work,medium,medium,medium,high,Any,synthetic
SYN-0597,267000,work,high,medium,high,medium,Xiaomi,synthetic
SYN-0598,1099000,general,medium,high,medium,low,Any,synthetic
SYN-0599,346000,camera,high,low,low,high,TECNO,synthetic
SYN-0600,479000,general,high,low,high,medium,Any,synthetic
